stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening F:\C-projects\C-games\blasteroids\SELF-CONTAINED\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   1.21642] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21643] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21644] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21646] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21647] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21648] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21649] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21650] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21651] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21652] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21653] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21654] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21655] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21656] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21657] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21658] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21659] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21660] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21661] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21662] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21663] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21664] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21665] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21666] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21667] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21668] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   1.21669] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21671] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21672] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21673] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21674] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21675] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21676] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21677] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21678] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21679] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21680] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21681] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21682] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21683] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21684] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21685] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21686] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21687] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21688] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21690] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21690] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21692] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21692] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21694] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21695] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21696] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21697] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21698] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21699] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21700] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21701] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21702] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21703] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21704] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21705] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21706] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21707] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21708] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21709] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21711] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21714] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21716] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21717] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21718] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21719] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21720] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21722] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21723] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21724] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21725] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21726] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21727] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21728] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21729] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21730] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21731] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21732] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21733] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21734] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21735] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21736] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21738] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21738] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   1.21740] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   1.21741] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21742] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21743] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21744] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21745] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21750] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21751] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21752] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21753] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21754] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21755] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21756] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21757] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21758] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21759] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21760] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21761] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21762] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21763] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21764] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21765] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21766] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21767] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21768] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21769] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21771] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21771] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21773] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21774] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21775] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   1.21776] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   1.21777] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   1.21778] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   1.21812] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   1.21818] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   1.28413] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   1.31015] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   1.31018] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   1.31023] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   1.31028] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   1.31033] Returning d3d_display: 034DAB40
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   1.31036] al_display=034DAB40
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   1.31038] al_display->vt=034D55A0
system   D            wsystem.c:771  _al_win_safe_load_library        [   1.31093] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:682  load_library_at_path             [   1.31096] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:685  load_library_at_path             [   1.31159] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   1.31162] Module "d3dx9_43.dll" loaded.
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.31168] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.31169] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.31170] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.31171] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.31172] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.31173] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.31174] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.31175] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.31176] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   1.31177] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   1.31178] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   1.31179] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   1.31180] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.31227] added dtor for bitmap 034E4030, func 61CC1C7B
audio-dsound I           dsound.cpp:249  _dsound_open                     [   1.31233] Starting DirectSound...
dinput   E         wjoydxnu.cpp:430  _al_win_joystick_dinput_grab     [   1.31833] IDirectInputDevice8_SetCooperativeLevel failed.
audio-dsound D           dsound.cpp:258  _dsound_open                     [   1.38645] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   1.39591] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   1.39606] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   1.39610] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   1.39612] added dtor for voice 034D0858, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   1.39619] added dtor for mixer 03532AF0, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   1.39622] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   1.39625] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   1.40193] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   1.40199] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   1.40218] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   1.40222] added dtor for sample_instance 03531F78, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40227] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40230] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40231] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40235] added dtor for sample_instance 03533040, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40238] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40240] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40241] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40244] added dtor for sample_instance 03532C00, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40269] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40271] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40272] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40274] added dtor for sample_instance 03532CF0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40275] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40278] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40279] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40282] added dtor for sample_instance 0353F140, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40284] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40285] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40287] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40290] added dtor for sample_instance 0353F230, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40292] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40294] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40295] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40298] added dtor for sample_instance 0353F320, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40300] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40303] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40305] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40307] added dtor for sample_instance 0353F410, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40309] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40312] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40326] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40330] added dtor for sample_instance 0353F500, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40333] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40337] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40339] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40341] added dtor for sample_instance 035405F8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40344] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40345] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40348] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40351] added dtor for sample_instance 035406E8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40354] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40356] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40357] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40359] added dtor for sample_instance 035407D8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40361] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40363] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40365] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40368] added dtor for sample_instance 035408C8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40370] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40372] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40375] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40378] added dtor for sample_instance 035409B8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40380] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40382] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40385] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40387] added dtor for sample_instance 03540EB0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40390] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40392] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40394] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40397] added dtor for sample_instance 03540FA0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40399] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40404] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40406] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40409] added dtor for sample_instance 03541090, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40413] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40415] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40416] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40418] added dtor for sample_instance 03540068, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40420] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40421] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40425] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40426] added dtor for sample_instance 0353FD98, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40430] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40432] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.40434] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.40437] added dtor for sample_instance 0353F7F8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.40440] sample matrix:
